_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
65bc18e597665dc8e5442750|true|93.95|100|93.95|68.51|66,0,0,0|words|10||0|8.43|0|0|false|false|english_1k|none|normal|false|false|false||1706825946433
65bc18db97665dc8e54426f3|true|84.27|100|84.27|78.36|66,0,0,0|words|10||2|9.4|0|3.7|false|false|english_1k|none|normal|false|false|false||1706825935760
65bc18c897665dc8e544263e|true|83.42|96.72|83.42|60.81|59,0,0,0|words|10||1|8.49|0|1.61|false|false|english_1k|none|normal|false|false|false||1706825916956
65bc18b097665dc8e5442545|true|66.4|93.23|66.4|71.42|302,0,0,0|words|50||4|54.58|0|30.5|false|false|english_1k|none|normal|false|false|false||1706825893141
65bc184697665dc8e5442197|true|62.77|91.71|62.77|66.66|394,0,0,0|words|50||1|75.32|0|33|false|false|english_5k|none|normal|false|false|false||1706825786942
65bc17a797665dc8e5441b7a|true|49.88|91.25|50.92|62.89|527,2,1,0|words|50||0|126.78|1|0|false|false|english_450k|none|normal|false|false|false||1706825628222
65bc16d697665dc8e5441379|true|90.07|97.44|90.07|78.61|266,0,0,0|words|50||1|35.44|0|8.49|false|false|english|none|normal|false|false|false||1706825419384
65bc16a197665dc8e5441181||81.8|94.19|84.88|72.19|239,2,1,1|words|50||2|35.06|0|6.77|false|false|english|none|normal|false|false|false||1706825365602
65bc167097665dc8e5440f99|true|82.45|94.92|87.28|73.87|239,6,1,5|words|50||3|34.79|0|21.03|false|false|english|none|normal|false|false|false||1706825316538
65bc161097665dc8e5440bdf||91.54|98.47|91.54|79.06|129,0,0,0|words|25|-1|1|16.91|0|1.54|false|false|english|none|normal|false|false|false||1706825232000
65bc15fc97665dc8e5440b1b||80.8|95.42|86.19|77.61|120,2,0,0|words|25|-1|0|17.82|0|0|false|false|english|none|normal|false|false|false||1706825212000
65bc15e897665dc8e5440a7c||69.76|96.3|70.86|69.55|127,0,0,1|words|25|-1|0|21.85|0|0|false|false|english|none|normal|false|false|false||1706825192000
65bc15d097665dc8e54409be||90.59|99.17|90.59|79.33|120,0,0,0|words|25|-1|0|15.9|0|0|false|false|english|none|normal|false|false|false||1706825168000
65bc15be97665dc8e5440913||93.98|99.24|93.98|83.57|130,0,0,0|words|25|-1|1|16.6|0|0.38|false|false|english|none|normal|false|false|false||1706825150000
65b9fb5d97665dc8e52cc78d||85.78|97.67|85.78|79.18|126,0,0,0|words|25|-1|0|17.63|0|0|false|false|english|none|normal|false|false|false||1706687325000
65b9fb4097665dc8e52cc6b7||93.28|99.19|93.28|84.53|122,0,0,0|words|25|-1|0|15.7|0|0|false|false|english|none|normal|false|false|false||1706687296000
65b9fb2d97665dc8e52cc625||80.07|97.71|86.02|66.11|121,0,1,0|words|25|-1|0|18.13|0|0|false|false|english|none|normal|false|false|false||1706687277000
65b879fa97665dc8e51de16f||88.33|97.69|95.69|81|120,1,1,0|words|25|-1|2|16.3|0|5.32|false|false|english|none|normal|false|false|false||1706588666000
65b879da97665dc8e51de064||83.09|99.24|86.39|68.47|126,0,0,1|words|25|-1|2|18.2|0|1.96|false|false|english|none|normal|false|false|false||1706588634000
65b879c097665dc8e51ddf88||88.52|99.24|88.52|80.34|130,0,0,0|words|25|-1|2|17.62|0|10.76|false|false|english|none|normal|false|false|false||1706588608000
65b6c07497665dc8e50e2e6d||72.87|95.56|78.85|70.19|122,1,1,0|words|25|-1|0|20.09|0|0|false|false|english|none|normal|false|false|false||1706475636000
65b6c05e97665dc8e50e2dc6||80.34|100|80.34|71.94|125,0,0,0|words|25|-1|5|18.67|0|45.7|false|false|english|none|normal|false|false|false||1706475614000
65b4847911c8b786c0eaabe0|true|84.78|97.49|86.38|77.45|424,4,0,1|time|60|-1|2|60.01|0|27.9|false|false|english|none|normal|false|false|false||1706329209000
65b4840b11c8b786c0eaa8c2||76.78|94.96|81.58|72.15|384,6,3,0|time|60|-1|3|60.01|0|19.23|false|false|english|none|normal|false|false|false||1706329099000
